feature,importance
player_GREIVIS VASQUEZ,0.0
player_GREG MONROE,0.0
player_GORGUI DIENG,0.0
player_GORDON HAYWARD,0.0
player_GERALD HENDERSON,0.0
player_GARY HARRIS,0.0
player_FRANK KAMINSKY,0.0
player_FESTUS EZELI,0.0
player_EVAN TURNER,0.0
player_DANTE CUNNINGHAM,0.0
player_DANGELO RUSSELL,0.0
player_DAMIAN LILLARD,0.0
player_ARNETT MOULTRIE,0.0
player_ARCHIE GOODWIN,0.0
player_ANTHONY DAVIS,0.0
player_ANTHONY BROWN,0.0
player_ANTHONY BENNETT,0.0
player_ANDREW WIGGINS,0.0
player_ANDREW NICHOLSON,0.0
player_ANDREW GOUDELOCK,0.0
player_ANDRE ROBERSON,0.0
player_ANDRE DRUMMOND,0.0
player_ALEX LEN,0.0
player_ALEC BURKS,0.0
player_AL-FAROUQ AMINU,0.0
player_AJ PRICE,0.0
player_ADREIAN PAYNE,0.0
player_AARON GORDON,0.0
ts_pct,0.0
efg_pct,0.0
drtg,0.0
tov_pct,0.0
player_ARMON JOHNSON,0.0
player_AUSTIN DAYE,0.0
player_DAJUAN SUMMERS,0.0
player_AUSTIN RIVERS,0.0
player_CORY JOSEPH,0.0
player_CORY JEFFERSON,0.0
player_COLE ALDRICH,0.0
player_CODY ZELLER,0.0
player_CLEANTHONY EARLY,0.0
player_CJ MCCOLLUM,0.0
player_CHRIS SINGLETON,0.0
player_CHRIS MCCULLOUGH,0.0
player_CHASE BUDINGER,0.0
player_CHARLES JENKINS,0.0
player_CARIS LEVERT,0.0
player_CAMERON PAYNE,0.0
player_BUDDY HIELD,0.0
player_BRANDON KNIGHT,0.0
player_BRANDON INGRAM,0.0
player_BRADLEY BEAL,0.0
player_BOBBY PORTIS,0.0
player_BERNARD JAMES,0.0
player_BEN MCLEMORE,0.0
player_JAMAL MURRAY,0.0
player_JAMES JOHNSON,0.0
player_SHABAZZ MUHAMMAD,0.0
player_MARQUESE CHRISS,0.0
player_MYLES TURNER,0.0
player_MITCH MCGARY,0.0
player_MIKE SCOTT,0.0
player_MICHAEL KIDD-GILCHRIST,0.0
player_MICHAEL CARTER-WILLIAMS,0.0
player_MEYERS LEONARD,0.0
player_MASON PLUMLEE,0.0
player_MARSHON BROOKS,0.0
player_MARQUIS TEAGUE,0.0
player_MARKIEFF MORRIS,0.0
player_JAMES YOUNG,0.0
player_MARKEL BROWN,0.0
player_MALCOLM LEE,0.0
player_MALCOLM BROGDON,0.0
player_LUKE HARANGODY,0.0
player_LESTER HUDSON,0.0
player_LAZAR HAYWARD,0.0
player_LAVOY ALLEN,0.0
player_LARRY SANDERS,0.0
player_LARRY NANCE,0.0
player_NATE WOLTERS,0.0
player_NIK STAUSKAS,0.0
player_NIKOLA VUCEVIC,0.0
player_NOAH VONLEH,0.0
player_SAM YOUNG,0.0
player_RYAN KELLY,0.0
player_RONDAE HOLLIS-JEFFERSON,0.0
player_RICHAUN HOLMES,0.0
player_REGGIE JACKSON,0.0
player_REGGIE BULLOCK,0.0
player_RASHAD VAUGHN,0.0
player_QUINCY PONDEXTER,0.0
player_PEYTON SIVA,0.0
player_PERRY JONES,0.0
player_PAUL GEORGE,0.0
player_PATRICK PATTERSON,0.0
player_PATRICK MCCAW,0.0
player_PASCAL SIAKAM,0.0
player_OTTO PORTER,0.0
player_ORLANDO JOHNSON,0.0
player_NORRIS COLE,0.0
player_NORMAN POWELL,0.0
player_NOLAN SMITH,0.0
player_LANDRY FIELDS,0.0
player_KYRIE IRVING,0.0
player_KYLE OQUINN,0.0
player_JORDAN CLARKSON,0.0
player_JON LEUER,0.0
player_JON BROCKMAN,0.0
player_JOHNNY OBRYANT,0.0
player_JOHN WALL,0.0
player_JOHN JENKINS,0.0
player_JOHN HENSON,0.0
player_JODIE MEEKS,0.0
player_JIMMY BUTLER,0.0
player_JIMMER FREDETTE,0.0
player_JERIAN GRANT,0.0
player_JEREMY LAMB,0.0
player_JEREMY EVANS,0.0
player_JERAMI GRANT,0.0
player_JEFF WITHEY,0.0
player_JEFF TEAGUE,0.0
player_JEFF AYRES,0.0
player_JAYLEN BROWN,0.0
player_JARELL MARTIN,0.0
player_JARED SULLINGER,0.0
player_JONNY FLYNN,0.0
player_JORDAN CRAWFORD,0.0
player_KYLE ANDERSON,0.0
player_JORDAN HAMILTON,0.0
player_KRIS DUNN,0.0
player_KLAY THOMPSON,0.0
player_KJ MCDANIELS,0.0
player_KIM ENGLISH,0.0
player_KENTAVIOUS CALDWELL-POPE,0.0
player_KENNETH FARIED,0.0
player_KENDALL MARSHALL,0.0
player_KEMBA WALKER,0.0
player_KELLY OUBRE,0.0
player_KELLY OLYNYK,0.0
player_KAWHI LEONARD,0.0
player_KARL-ANTHONY TOWNS,0.0
player_JUSTISE WINSLOW,0.0
player_JUSTIN ANDERSON,0.0
player_JRUE HOLIDAY,0.0
player_JOSH RICHARDSON,0.0
player_JOSH HARRELLSON,0.0
player_JORDAN WILLIAMS,0.0
player_JORDAN HILL,0.0
position_SG-SF,0.0
