feature,importance
ht_5-Jun,0.0008610198338351369
position_C,0.0008550069178149187
Unnamed: 64_Combo G,0.0007653756986602583
school_Missouri,0.0007430875304265786
school_Florida,0.0007366157994013832
Unnamed: 64_Wing F,0.0007307526070891505
ht_6-Jun,0.0006821135069627408
player_DAMIAN LILLARD,0.0006695976623711415
player_MICHAEL CARTER-WILLIAMS,0.0005966701816554488
yr_Sr,0.0005959106964429895
Unnamed: 64_Scoring PG,0.0005153430484873563
player_LANDRY FIELDS,0.00051026700730981
position_PF,0.000495215929767304
school_Ohio St.,0.00047071251897720553
player_TAJ GIBSON,0.00044508891578158425
ht_8-Jun,0.0004277745762621869
position_SF,0.0004200402849137248
conf_SEC,0.00041385343661341756
Unnamed: 64_PF/C,0.00038978273140671176
player_CHANDLER PARSONS,0.0003547831460305828
position_PG,0.0003510736596829865
Unnamed: 64_Wing G,0.0003474592154867966
school_Duke,0.0003464086684615844
ht_4-Jun,0.0003245609873780502
yr_Jr,0.0002998110333589034
ht_1-Jun,0.00029318285389435015
ht_3-Jun,0.0002809027848492
player_JORDAN CRAWFORD,0.00027537911934604766
player_KAWHI LEONARD,0.0002741354130930761
conf_SC,0.00025121727690518506
position_PF-SF,0.0002291771347569259
player_MALCOLM BROGDON,0.00021772246543316003
ht_7-Jun,0.00021699539266273053
player_DEVIN BOOKER,0.00021525662421651622
ht_10-Jun,0.0002139114964163525
school_Michigan,0.000192496695340557
school_USC,0.00017876353659026956
school_Washington St.,0.00017285323485619254
ht_Jul-00,0.00017226707141453052
player_JAHLIL OKAFOR,0.00016791360968859795
player_ANDREW WIGGINS,0.0001652669870163564
conf_B10,0.00016250343291569462
player_ERIC BLEDSOE,0.00015662622246826933
school_Kansas,0.0001549000155573037
player_KLAY THOMPSON,0.00014442128910565878
school_Georgia,0.00014378537960233514
player_JONNY FLYNN,0.0001291965715122364
Unnamed: 64_C,0.00012901488432687726
player_WAYNE ELLINGTON,0.00012396480002894555
position_SG,0.0001119736446771519
school_Wyoming,0.00010972863477354782
position_SF-SG,0.00010432075899615285
player_DEJUAN BLAIR,9.68776219136892e-05
player_JABARI PARKER,9.250836715492254e-05
school_Georgetown,9.09577287444641e-05
player_AJ PRICE,8.77917402554565e-05
school_Xavier,8.299034507754997e-05
ht_2-Jun,8.06478724257464e-05
school_Tennessee,7.738541668210456e-05
school_VCU,7.658953688913819e-05
school_Kentucky,7.364055821760794e-05
player_TYLER ENNIS,7.00486637139239e-05
conf_Amer,6.983062010964031e-05
conf_A10,6.894358305420102e-05
school_Virginia,6.49620222215397e-05
school_Providence,6.422979843036849e-05
player_RODNEY HOOD,6.19593824037829e-05
school_Washington,6.162540598310347e-05
player_AUSTIN RIVERS,6.083040556981579e-05
player_TIM HARDAWAY,5.9071277608542915e-05
school_Pittsburgh,5.883694455424927e-05
school_Seton Hall,5.2787075650543285e-05
school_Louisville,4.961949206110698e-05
school_Clemson,4.7391481158134244e-05
player_STANLEY JOHNSON,4.486142934269767e-05
conf_CUSA,4.3034740804228895e-05
school_Michigan St.,3.8853514115282975e-05
Unnamed: 64_Stretch 4,3.5147068801876306e-05
school_Illinois,3.242636835798226e-05
conf_P12,3.213138544301014e-05
school_Notre Dame,3.191184533081915e-05
player_WILLIE CAULEY-STEIN,3.139246434356822e-05
player_GREG MONROE,3.094241783826707e-05
conf_CAA,3.085015875953563e-05
school_UNLV,3.077325289631132e-05
player_QUINCY PONDEXTER,2.781219119480941e-05
school_Wake Forest,2.626745557071244e-05
Unnamed: 64_Pure PG,2.552386689885675e-05
player_DARRUN HILLIARD,2.5481397129102798e-05
player_ETWAUN MOORE,2.3781142055816534e-05
school_Arkansas,2.32917458461204e-05
conf_BE,2.3195445813462438e-05
conf_MWC,2.296593218927458e-05
ht_9-Jun,2.279005266003678e-05
conf_BW,2.1737281309511413e-05
school_Syracuse,2.1424309005949843e-05
player_LARRY NANCE,2.1096678892177334e-05
player_COLE ALDRICH,2.0920212311735317e-05
player_CHASE BUDINGER,1.974896330385349e-05
player_CHRIS SINGLETON,1.9518820594996896e-05
player_JUSTISE WINSLOW,1.9282464408220612e-05
position_SF-PF,1.8856617967583613e-05
school_Stanford,1.8332235116871078e-05
school_California,1.8147527851217455e-05
player_DEMAR DEROZAN,1.7710116971861777e-05
player_KYLE OQUINN,1.6600337224085916e-05
school_Colorado,1.5724816263209907e-05
player_CJ MCCOLLUM,1.4626671353297257e-05
player_JOHNNY OBRYANT,1.2849965499270277e-05
school_Gonzaga,1.2739225119379472e-05
player_ARCHIE GOODWIN,1.2409169520633592e-05
player_STEPHEN CURRY,1.178635533565374e-05
player_JORDAN HAMILTON,1.1111245799722853e-05
player_LAVOY ALLEN,9.75430842772367e-06
ht_9-May,8.944712472101183e-06
school_Georgia Tech,8.32385661000744e-06
player_TREY BURKE,8.090685566592257e-06
school_Arizona,7.990755181450476e-06
player_LAZAR HAYWARD,7.85510051470574e-06
school_St. Bonaventure,7.68002434500738e-06
player_JOSH HARRELLSON,7.603476586730805e-06
position_PF-C,7.412261408974394e-06
player_KENDALL MARSHALL,7.060454269222592e-06
player_DERRICK BROWN,6.958316406250087e-06
player_JAE CROWDER,6.583403413677483e-06
player_KJ MCDANIELS,6.45811143710059e-06
ht_Jun-00,6.0081527891917565e-06
player_JAMES JOHNSON,5.925267137557191e-06
player_MEYERS LEONARD,5.741495479201595e-06
player_JEREMY EVANS,5.476243978912803e-06
player_TOBIAS HARRIS,5.396015680494003e-06
school_Cleveland St.,5.236753300615644e-06
player_NIK STAUSKAS,5.236074514569628e-06
school_Mississippi St.,4.665331984555875e-06
school_Connecticut,4.535286172217432e-06
school_Memphis,4.206166083789084e-06
player_NOAH VONLEH,4.173664708327945e-06
player_DOMANTAS SABONIS,4.003324633293764e-06
player_RYAN KELLY,3.4550069696307144e-06
school_Baylor,3.295096211523862e-06
school_Boston College,3.1413025971316326e-06
player_MICHAEL KIDD-GILCHRIST,2.9806718395768037e-06
conf_WAC,2.799066884236743e-06
school_Murray St.,2.768908918919992e-06
player_RASHAD VAUGHN,2.6577067646937187e-06
school_Butler,2.567538423752986e-06
position_SG-SF,2.442232879912135e-06
player_DRAYMOND GREEN,2.389790673995253e-06
school_BYU,2.355045542080284e-06
player_ISAIAH THOMAS,2.2954756103157787e-06
player_TREY LYLES,2.2429390104319453e-06
player_MALCOLM LEE,2.1909757904304926e-06
player_TERRENCE ROSS,2.0970003996822248e-06
conf_Pat,2.0024198653056714e-06
player_BEN MCLEMORE,1.8989720781420482e-06
player_DION WAITERS,1.8613352344553427e-06
player_JODIE MEEKS,1.703842162533261e-06
player_REGGIE JACKSON,1.6940069488456368e-06
player_SHABAZZ MUHAMMAD,1.6300737721787682e-06
player_BERNARD JAMES,1.5989954907541293e-06
player_ERIC MAYNOR,1.540459835338363e-06
school_Vanderbilt,1.5061502854627765e-06
player_CAMERON PAYNE,1.498754838295921e-06
player_JIMMY BUTLER,1.4537740430293515e-06
player_JARED SULLINGER,1.371443368832697e-06
player_KYLE ANDERSON,1.216315308940493e-06
school_Marquette,1.2083134598087493e-06
player_MITCH MCGARY,1.1918049030027114e-06
school_UC Santa Barbara,1.1835892015865312e-06
player_JAMAL MURRAY,1.1180147059429872e-06
player_JEFF WITHEY,1.0459017131859614e-06
player_NATE WOLTERS,1.0404688594818517e-06
school_Maryland,1.0382332316993413e-06
school_Florida St.,1.0037158764577802e-06
player_ISAIAH WHITEHEAD,9.959123568572566e-07
conf_BSky,9.829136652461425e-07
school_Texas,8.43212593674061e-07
player_KYRIE IRVING,8.186447878400828e-07
player_JERIAN GRANT,8.158666299371676e-07
school_Oklahoma St.,7.958810174570598e-07
player_KRIS DUNN,7.82598638562679e-07
ht_1-Jul,7.7496321748928e-07
player_DEMARRE CARROLL,7.679669204259877e-07
player_JARELL MARTIN,7.2248909008701e-07
player_JAJUAN JOHNSON,6.968699121271088e-07
school_Arizona St.,6.681111250349494e-07
school_Villanova,5.635383956521169e-07
school_Lehigh,4.6077110337185434e-07
player_ORLANDO JOHNSON,4.596246334843732e-07
conf_Horz,4.2412317941297505e-07
